Player Name,Start year,End year,Position
Dalibor Bagarić,2001,2003,C
John Bagley,1983,1994,G
Marvin Bagley III,2019,2023,F-C
Carl Bailey,1982,1982,C
Gus Bailey,1975,1980,G-F
James Bailey,1980,1988,F-C
Thurl Bailey,1984,1999,F-C
Toby Bailey,1999,2000,G
Cameron Bairstow,2015,2016,F-C
Jimmie Baker,1976,1976,F
Mark Baker,1999,1999,G
Maurice Baker,2005,2005,G
Norm Baker,1947,1947,G
Ron Baker,2017,2019,G
Vin Baker,1994,2006,F
Patrick Baldwin Jr.,2023,2023,G-F
Wade Baldwin,2017,2019,G
Renaldo Balkman,2007,2012,F
Cedric Ball,1991,1991,F
LaMelo Ball,2021,2023,G
Lonzo Ball,2018,2022,G
Greg Ballard,1978,1989,F
Herschel Baltimore,1947,1947,F
Mo Bamba,2019,2023,C
Paolo Banchero,2023,2023,F
Desmond Bane,2021,2023,G
Gene Banks,1982,1987,F-G
Marcus Banks,2004,2011,G
Walker Banks,1971,1971,C
Ken Bannister,1985,1991,F-C
Mike Bantom,1974,1982,F-C
Dalano Banton,2022,2023,G-F
Cat Barber,2022,2022,G
John Barber,1957,1957,F
Leandro Barbosa,2004,2017,G
Steve Bardo,1992,1996,G
J.J. Barea,2007,2020,G
Andrea Bargnani,2007,2016,F-C
Cliff Barker,1950,1952,G
Tom Barker,1977,1979,C-F
Charles Barkley*,1985,2000,F
Erick Barkley,2001,2002,G
Don Barksdale*,1952,1955,F-C
Dominick Barlow,2023,2023,F
Harrison Barnes,2013,2023,F
Harry Barnes,1969,1969,F
Jim Barnes,1965,1971,C-F
Marvin Barnes,1975,1980,F-C
Matt Barnes,2004,2017,F
Scottie Barnes,2022,2023,G-F
Dick Barnett,1960,1974,G-F
Jim Barnett,1967,1977,G-F
Nate Barnett,1976,1976,G
John Barnhill,1963,1972,G
Norton Barnhill,1977,1977,G
Leo Barnhorst,1950,1954,F-G
John Barr,1947,1947,F
Mike Barr,1973,1977,G
Moe Barr,1971,1971,G
Andre Barrett,2005,2008,G
Ernie Barrett,1954,1956,G-F
Mike Barrett,1970,1973,G
RJ Barrett,2020,2023,G-F
Earl Barron,2006,2015,C
Dana Barros,1990,2004,G
Brent Barry,1996,2009,G
Drew Barry,1998,2000,G
Jon Barry,1993,2006,G
Rick Barry*,1966,1980,F
Ed Bartels,1950,1951,F
Vic Bartolome,1972,1972,C
Will Barton,2013,2023,G
Eddie Basden,2006,2006,G
Jerry Baskerville,1976,1976,F
Brandon Bass,2006,2017,F
Paris Bass,2022,2022,F
Tim Bassett,1974,1980,F-C
Charles Bassey,2022,2023,C
Maceo Baston,2003,2009,F
Mengke Bateer,2002,2004,C
Billy Ray Bates,1980,1983,G
Keita Bates-Diop,2019,2023,F
Esteban Batista,2006,2007,F-C
Mike Batiste,2003,2003,F
Tony Battie,1998,2012,C-F
Shane Battier,2002,2014,F
John Battle,1986,1995,G
Kenny Battle,1990,1993,F
Dave Batton,1983,1984,C
Lloyd Batts,1975,1975,G-F
Nicolas Batum,2009,2023,F-G
Johnny Baum,1970,1974,F
Frankie Baumholtz,1947,1947,G
Lonny Baxter,2003,2006,F
Jerryd Bayless,2009,2019,G
Elgin Baylor*,1959,1972,F
Howard Bayne,1968,1968,F
Aron Baynes,2013,2021,C
Sergei Bazarevich,1995,1995,G
Kent Bazemore,2013,2022,G-F
Darius Bazley,2020,2023,F
Ed Beach,1951,1951,F
Bradley Beal,2013,2023,G
Al Beard,1968,1968,C
Butch Beard,1970,1979,G
Ralph Beard,1950,1951,G
Charlie Beasley,1968,1971,G-F
Jerome Beasley,2004,2004,F
John Beasley,1968,1974,F-C
Malik Beasley,2017,2023,G
Michael Beasley,2009,2019,F
Zelmo Beaty*,1963,1975,C
Rodrigue Beaubois,2010,2013,G
MarJon Beauchamp,2023,2023,G
Byron Beck,1968,1977,C-F
Corey Beck,1996,1999,G
Ernie Beck,1954,1961,G-F
Art Becker,1968,1973,F
Moe Becker,1947,1947,G-F
Bob Bedell,1968,1971,F
William Bedford,1987,1993,C
Hank Beenders,1947,1949,C-F
Ron Behagen,1974,1980,F-C
Elmer Behnke,1952,1952,C
Marco Belinelli,2008,2020,G-F
Charlie Bell,2002,2011,G
Dennis Bell,1974,1976,F
Jordan Bell,2018,2022,F
Raja Bell,2001,2012,G
Troy Bell,2004,2004,G
Whitey Bell,1960,1961,G
Walt Bellamy*,1962,1975,C
DeAndre' Bembry,2017,2022,F
Irv Bemoras,1954,1957,F-G
Leon Benbow,1975,1976,G
Dragan Bender,2017,2020,F
Jonathan Bender,2000,2010,F
Jerrelle Benimon,2015,2015,F
Benoit Benjamin,1986,2000,C
Corey Benjamin,1999,2003,G
Anthony Bennett,2014,2017,F
Elmer Bennett,1995,1997,G
Mario Bennett,1996,2000,F
Mel Bennett,1976,1982,F
Spider Bennett,1969,1969,G
Tony Bennett,1993,1995,G
Winston Bennett,1990,1992,F
David Benoit,1992,2001,F
Keith Benson,2012,2012,C
Kent Benson,1978,1988,C
Ben Bentil,2017,2017,F
Gene Berce,1950,1950,G-F
Gary Bergen,1957,1957,C
Larry Bergh,1970,1970,F
Ricky Berry,1989,1989,F
Walter Berry,1987,1989,F
Dairis Bertāns,2019,2019,G
Dāvis Bertāns,2017,2023,F
Del Beshore,1979,1980,G
Travis Best,1996,2005,G
Patrick Beverley,2013,2023,G
Saddiq Bey,2021,2023,F
Tyler Bey,2021,2021,F
Sim Bhullar,2015,2015,C
Wes Bialosuknia,1968,1968,G
Al Bianchi,1957,1966,G
Hank Biasatti,1947,1947,G
Henry Bibby,1973,1981,G
Mike Bibby,1999,2012,G
Ed Biedenbach,1969,1969,G
Andris Biedriņš,2005,2014,C
Don Bielke,1956,1956,C
Bob Bigelow,1976,1979,F-G
Lionel Billingy,1975,1975,F-C
Chauncey Billups,1998,2014,G
Dave Bing*,1967,1978,G
Joe Binion,1987,1987,F
Khem Birch,2018,2023,C-F
Jabari Bird,2018,2018,G
Jerry Bird,1959,1959,F
Larry Bird*,1980,1992,F
Otis Birdsong,1978,1989,G
Gale Bishop,1949,1949,F
Goga Bitadze,2020,2023,C
Bismack Biyombo,2012,2023,C-F
Nemanja Bjelica,2016,2022,F
Uwe Blab,1986,1990,C
Charlie Black,1949,1952,F-C
Norman Black,1981,1981,G
Tarik Black,2015,2018,C-F
Tom Black,1971,1971,C
Rolando Blackman,1982,1994,G
Alex Blackwell,1993,1993,F
Cory Blackwell,1985,1985,F
James Blackwell,1995,1995,G
Nate Blackwell,1988,1988,G
DeJuan Blair,2010,2016,F-C
Steve Blake,2004,2016,G
Antonio Blakeney,2018,2019,G
Will Blalock,2007,2007,G
George Blaney,1962,1962,G
Lance Blanks,1991,1993,G
Ricky Blanton,1993,1993,F
Andray Blatche,2006,2014,F
Mookie Blaylock,1990,2002,G
Eric Bledsoe,2011,2022,G
Keljin Blevins,2021,2022,F
Leon Blevins,1951,1951,G
John Block,1967,1976,F-C
Mike Bloom,1948,1949,F-C
Jaron Blossomgame,2019,2019,F
Corie Blount,1994,2004,F
Mark Blount,2001,2009,C
Vander Blue,2014,2018,G
Ray Blume,1982,1982,G
Nelson Bobb,1950,1953,G
Tony Bobbitt,2005,2005,G
Bucky Bockhorn,1959,1965,G
Buddy Boeheim,2023,2023,G
Tom Boerwinkle,1969,1978,C
Keith Bogans,2004,2014,G-F
Bogdan Bogdanović,2018,2023,G
Bojan Bogdanović,2015,2023,G-F
Muggsy Bogues,1988,2001,G
Andrew Bogut,2006,2019,C
Etdrick Bohannon,1998,2001,F
Bol Bol,2020,2023,F-C
Manute Bol,1986,1995,C
Jonah Bolden,2019,2020,F
